Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Supporting Cloud Service Operation Management for Elasticity","Service-Oriented Computing","","","","10.1007/978-3-662-48616-0_8","Georgiana CopilHong-Linh TruongSchahram Dustdar","2015","http://link.springer.com/chapter/10.1007/978-3-662-48616-0_8","Chapter"
"Evolutionary Design of a Developmental Learning Community","End-User Development","","","","10.1007/978-3-642-38706-7_1","Mary Beth Rosson","2013","http://link.springer.com/chapter/10.1007/978-3-642-38706-7_1","Chapter"
"Developing Architectural Documentation for the Hadoop Distributed File System","Open Source Systems: Grounding Research","","","","10.1007/978-3-642-24418-6_4","Len BassRick KazmanIpek Ozkaya","2011","http://link.springer.com/chapter/10.1007/978-3-642-24418-6_4","Chapter"
"UDBMS: Road to Unification for Multi-model Data Management","Advances in Conceptual Modeling","","","","10.1007/978-3-030-01391-2_33","Jiaheng LuZhen Hua LiuPengfei XuChao Zhang","2018","http://link.springer.com/chapter/10.1007/978-3-030-01391-2_33","Chapter"
"SC
              2: Secure Communication over Smart Cards","Foundations and Practice of Security","","","","10.1007/978-3-642-27901-0_4","Nicola DragoniEduardo LostalDavide PapiniJavier Fabra","2012","http://link.springer.com/chapter/10.1007/978-3-642-27901-0_4","Chapter"
"A Multi-objective Approach to Prioritize and Recommend Bugs in Open Source Repositories","Search Based Software Engineering","","","","10.1007/978-3-319-47106-8_10","Duany DreytonAllysson Allex AraújoAltino DantasRaphael SaraivaJerffeson Souza","2016","http://link.springer.com/chapter/10.1007/978-3-319-47106-8_10","Chapter"
"Reflections on System Properties Valued by End Users in Designing End-User Development Systems","Global Thoughts, Local Designs","","","","10.1007/978-3-319-92081-8_10","Carmelo ArditoMaria Francesca CostabileGiuseppe DesoldaRosa LanzilottiMaristella Matera","2018","http://link.springer.com/chapter/10.1007/978-3-319-92081-8_10","Chapter"
"A Framework for Bidirectional Model-to-Platform Transformations","Software Language Engineering","","","","10.1007/978-3-642-36089-3_8","Anthony AnjorinKarsten SallerSebastian RoseAndy Schürr","2013","http://link.springer.com/chapter/10.1007/978-3-642-36089-3_8","Chapter"
"Semantic Mutation Testing for Multi-agent Systems","Engineering Multi-Agent Systems","","","","10.1007/978-3-319-26184-3_8","Zhan HuangRob Alexander","2015","http://link.springer.com/chapter/10.1007/978-3-319-26184-3_8","Chapter"
"Investigating the Evolving Knowledge Structures in New Technology Development","Product Lifecycle Management to Support Industry 4.0","","","","10.1007/978-3-030-01614-2_48","J. A. GopsillP. ShakespeareC. M. SniderL. NewnesB. J. Hicks","2018","http://link.springer.com/chapter/10.1007/978-3-030-01614-2_48","Chapter"
"2COMM: A Commitment-Based MAS Architecture","Engineering Multi-Agent Systems","","","","10.1007/978-3-642-45343-4_3","Matteo BaldoniCristina BaroglioFederico Capuzzimati","2013","http://link.springer.com/chapter/10.1007/978-3-642-45343-4_3","Chapter"
"A Social Software-Based Coordination Platform","Coordination Models and Languages","","","","10.1007/978-3-642-30829-1_2","Davide Rossi","2012","http://link.springer.com/chapter/10.1007/978-3-642-30829-1_2","Chapter"
"A Hybrid Semantic Approach to Building Dynamic Maps of Research Communities","Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-319-13704-9_28","Francesco OsborneGiuseppe ScavoEnrico Motta","2014","http://link.springer.com/chapter/10.1007/978-3-319-13704-9_28","Chapter"
"Engaging without Over-Powering: A Case Study of a FLOSS Project","Open Source Software: New Horizons","","","","10.1007/978-3-642-13244-5_3","Andrea CapiluppiAndres BaravalleNick W. Heap","2010","http://link.springer.com/chapter/10.1007/978-3-642-13244-5_3","Chapter"
"Polynomial Invariants by Linear Algebra","Automated Technology for Verification and Analysis","","","","10.1007/978-3-319-46520-3_30","Steven de OliveiraSaddek BensalemVirgile Prevosto","2016","http://link.springer.com/chapter/10.1007/978-3-319-46520-3_30","Chapter"
"Model-Driven Composition of Information Systems from Shared Components and Connectors","On the Move to Meaningful Internet Systems: OTM 2013 Conferences","","","","10.1007/978-3-642-41030-7_13","Stefania LeoneAlexandre de SpindlerDennis McLeod","2013","http://link.springer.com/chapter/10.1007/978-3-642-41030-7_13","Chapter"
"Study on the Social Impact on Software Architecture through Metrics of Modularity","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09156-3_43","Braulio SiebraEudisley AnjosGabriel Rolim","2014","http://link.springer.com/chapter/10.1007/978-3-319-09156-3_43","Chapter"
"MDE4HPC: An Approach for Using Model-Driven Engineering in High-Performance Computing","SDL 2011: Integrating System and Software Modeling","","","","10.1007/978-3-642-25264-8_19","Marc PalyartDavid LugatoIleana OberJean-Michel Bruel","2012","http://link.springer.com/chapter/10.1007/978-3-642-25264-8_19","Chapter"
"Towards Performance Tooling Interoperability: An Open Format for Representing Execution Traces","Computer Performance Engineering","","","","10.1007/978-3-319-46433-6_7","Dušan OkanovićAndré van HoornChristoph HegerAlexander WertStefan Siegl","2016","http://link.springer.com/chapter/10.1007/978-3-319-46433-6_7","Chapter"
"Variability Support in Domain-Specific Language Development","Software Language Engineering","","","","10.1007/978-3-319-02654-1_5","Edoardo VacchiWalter CazzolaSuresh PillayBenoît Combemale","2013","http://link.springer.com/chapter/10.1007/978-3-319-02654-1_5","Chapter"
"The Construction of Real-Time Integrated Surveillance System in Water Conservancy","Innovative Computing and Information","","","","10.1007/978-3-642-23998-4_18","Qing-Xun Ma","2011","http://link.springer.com/chapter/10.1007/978-3-642-23998-4_18","Chapter"
"Distributed Context Models in Support of Ubiquitous Mobile Awareness Services","Sensor Systems and Software","","","","10.1007/978-3-642-23583-2_9","Jamie WaltersTheo KanterRoger Norling","2011","http://link.springer.com/chapter/10.1007/978-3-642-23583-2_9","Chapter"
"A Platform for Web Augmentation Requirements Specification","Web Engineering","","","","10.1007/978-3-319-08245-5_1","Diego FirmenichSergio FirmenichJosé Matías RiveroLeandro Antonelli","2014","http://link.springer.com/chapter/10.1007/978-3-319-08245-5_1","Chapter"
"Shared Memory Tile-Based vs Hybrid Memory GOP-Based Parallel Algorithms for HEVC Encoder","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-49583-5_40","Héctor MigallónOtoniel López-GranadoVicente GalianoPablo PiñolManuel P. Malumbres","2016","http://link.springer.com/chapter/10.1007/978-3-319-49583-5_40","Chapter"
"Specialising Guava’s Cache to Reduce Energy Consumption","Search-Based Software Engineering","","","","10.1007/978-3-319-22183-0_23","Nathan BurlesEdward BowlesBobby R. BruceKomsan Srivisut","2015","http://link.springer.com/chapter/10.1007/978-3-319-22183-0_23","Chapter"
"Global Communication Infrastructure: Towards Standardization of Customized Projects via Profile Matching","Leveraging Applications of Formal Methods, Verification, and Validation","","","","10.1007/978-3-319-51641-7_5","Axel HessenkämperBarbara SteffenSteve Boßelmann","2016","http://link.springer.com/chapter/10.1007/978-3-319-51641-7_5","Chapter"
"Reverse Engineering of Model Transformations for Reusability","Theory and Practice of Model Transformations","","","","10.1007/978-3-319-08789-4_14","Jesús Sánchez CuadradoEsther GuerraJuan de Lara","2014","http://link.springer.com/chapter/10.1007/978-3-319-08789-4_14","Chapter"
"Analysis of CQI Traces from LTE MIMO Deployments and Impact on Classical Schedulers","Wired/Wireless Internet Communications","","","","10.1007/978-3-319-22572-2_5","Jose Oscar FajardoIanire TaboadaFidel Liberal","2015","http://link.springer.com/chapter/10.1007/978-3-319-22572-2_5","Chapter"
"The Epidemiology of Innovation","Design, User Experience, and Usability: Design Thinking and Methods","","","","10.1007/978-3-319-40409-7_16","Tim Stock","2016","http://link.springer.com/chapter/10.1007/978-3-319-40409-7_16","Chapter"
"From UML Profiles to EMF Profiles and Beyond","Objects, Models, Components, Patterns","","","","10.1007/978-3-642-21952-8_6","Philip LangerKonrad WielandManuel WimmerJordi Cabot","2011","http://link.springer.com/chapter/10.1007/978-3-642-21952-8_6","Chapter"
"Sound Merging and Differencing for Class Diagrams","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-642-54804-8_5","Uli FahrenbergMathieu AcherAxel LegayAndrzej Wąsowski","2014","http://link.springer.com/chapter/10.1007/978-3-642-54804-8_5","Chapter"
"Energy Management System as an Embedded Service: Saving Energy Consumption of ICT","Architecture of Computing Systems – ARCS 2009","","","","10.1007/978-3-642-00454-4_20","Francisco Maciá-PérezDiego Marcos-JorqueraVirgilio Gilart-Iglesias","2009","http://link.springer.com/chapter/10.1007/978-3-642-00454-4_20","Chapter"
"Algebraic Graph Transformations for Merging Ontologies","Model and Data Engineering","","","","10.1007/978-3-319-11587-0_16","Mariem MahfoudhLaurent ThiryGermain ForestierMichel Hassenforder","2014","http://link.springer.com/chapter/10.1007/978-3-319-11587-0_16","Chapter"
"EcoData: Architecting Cross-Platform Software Ecosystem Applications","Mastering Scale and Complexity in Software Reuse","","","","10.1007/978-3-319-56856-0_14","Marcelo França","2017","http://link.springer.com/chapter/10.1007/978-3-319-56856-0_14","Chapter"
"Computing Optimized Representations for Non-convex Polyhedra by Detection and Removal of Redundant Linear Constraints","Tools and Algorithms for the Construction and Analysis of Systems","","","","10.1007/978-3-642-00768-2_32","Christoph SchollStefan DischFlorian PigorschStefan Kupferschmid","2009","http://link.springer.com/chapter/10.1007/978-3-642-00768-2_32","Chapter"
"Sensing World Heritage","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09129-7_31","Vasco MonteiroRoberto HenriquesMarco PainhoEric Vaz","2014","http://link.springer.com/chapter/10.1007/978-3-319-09129-7_31","Chapter"
"Explaining Successful Docker Images Using Pattern Mining Analysis","Software Technologies: Applications and Foundations","","","","10.1007/978-3-030-04771-9_9","Riccardo GuidottiJacopo SoldaniDavide NeriAntonio Brogi","2018","http://link.springer.com/chapter/10.1007/978-3-030-04771-9_9","Chapter"
"Investigating the Applicability of the Normalized Systems Theory on IT Infrastructure Systems","Enterprise and Organizational Modeling and Simulation","","","","10.1007/978-3-030-00787-4_9","Geert Haerens","2018","http://link.springer.com/chapter/10.1007/978-3-030-00787-4_9","Chapter"
"Testing Web Services in the Cloud","Software Quality. Increasing Value in Software and Systems Development","","","","10.1007/978-3-642-35702-2_6","Harry M. Sneed","2013","http://link.springer.com/chapter/10.1007/978-3-642-35702-2_6","Chapter"
"CHOReVOLUTION: Automating the Realization of Highly–Collaborative Distributed Applications","Coordination Models and Languages","","","","10.1007/978-3-030-22397-7_6","Marco AutiliAmleto Di SalleFrancesco GalloClaudio PompilioMassimo Tivoli","2019","http://link.springer.com/chapter/10.1007/978-3-030-22397-7_6","Chapter"
"Uniform Modularization of Workflow Concerns Using Unify","Software Language Engineering","","","","10.1007/978-3-642-28830-2_5","Niels JoncheereRagnhild Van Der Straeten","2012","http://link.springer.com/chapter/10.1007/978-3-642-28830-2_5","Chapter"
"A Memoryless Trust Computing Mechanism for Cloud Computing","Networked Digital Technologies","","","","10.1007/978-3-642-30507-8_16","Mohamed FirdhousOsman GhazaliSuhaidi Hassan","2012","http://link.springer.com/chapter/10.1007/978-3-642-30507-8_16","Chapter"
"Wiki Refactoring as Mind Map Reshaping","Advanced Information Systems Engineering","","","","10.1007/978-3-642-31095-9_42","Gorka PuenteOscar Díaz","2012","http://link.springer.com/chapter/10.1007/978-3-642-31095-9_42","Chapter"
"Modelling Risks in Open Source Software Component Selection","Conceptual Modeling","","","","10.1007/978-3-319-12206-9_28","Alberto SienaMirko MorandiniAngelo Susi","2014","http://link.springer.com/chapter/10.1007/978-3-319-12206-9_28","Chapter"
"A Framework for End-to-End Ontology Management System","Computational Science and Its Applications -- ICCSA 2015","","","","10.1007/978-3-319-21404-7_39","Anusha Indika WalisadeeraAthula GinigeGihan Nilendra WikramanayakeA. L. Pamuditha MadushankaA. A. Shanika Udeshini","2015","http://link.springer.com/chapter/10.1007/978-3-319-21404-7_39","Chapter"
"eVolCheck: Incremental Upgrade Checker for C","Tools and Algorithms for the Construction and Analysis of Systems","","","","10.1007/978-3-642-36742-7_21","Grigory FedyukovichOndrej SeryNatasha Sharygina","2013","http://link.springer.com/chapter/10.1007/978-3-642-36742-7_21","Chapter"
"A WebGIS Application for Cloud Storm Monitoring","Databases and Information Systems","","","","10.1007/978-3-319-40180-5_11","Stavros KoliosDimitrios LoukadakisChrysostomos StyliosAndreas KazantzidisAleksandr Petunin","2016","http://link.springer.com/chapter/10.1007/978-3-319-40180-5_11","Chapter"
"Motion Capture and Contemporary Optimization Algorithms for Robust and Stable Motions on Simulated Biped Robots","RoboCup 2012: Robot Soccer World Cup XVI","","","","10.1007/978-3-642-39250-4_20","Andreas SeekircherJustin StoeckerSaminda AbeyruwanUbbo Visser","2013","http://link.springer.com/chapter/10.1007/978-3-642-39250-4_20","Chapter"
"A Framework for Optimizing Malware Classification by Using Genetic Algorithm","Software Engineering and Computer Systems","","","","10.1007/978-3-642-22191-0_5","Mohd Najwadi YusoffAman Jantan","2011","http://link.springer.com/chapter/10.1007/978-3-642-22191-0_5","Chapter"
"Integrating Business Information Streams in a Core Banking Architecture: A Practical Experience","Enterprise Information Systems","","","","10.1007/978-3-319-22348-3_23","Beatriz San MiguelJose M. del AlamoJuan C. Yelmo","2015","http://link.springer.com/chapter/10.1007/978-3-319-22348-3_23","Chapter"
"Traceability of Tightly Coupled Phases of Semantic Data Warehouse Design","On the Move to Meaningful Internet Systems: OTM 2015 Conferences","","","","10.1007/978-3-319-26148-5_33","Selma KhouriLadjel Bellatreche","2015","http://link.springer.com/chapter/10.1007/978-3-319-26148-5_33","Chapter"
"Towards Structure-Based Quality Awareness in Software Ecosystem Use","Service-Oriented Computing – ICSOC 2013 Workshops","","","","10.1007/978-3-319-06859-6_41","Klaus Marius HansenWeishan Zhang","2014","http://link.springer.com/chapter/10.1007/978-3-319-06859-6_41","Chapter"
"TemporalEMF: A Temporal Metamodeling Framework","Conceptual Modeling","","","","10.1007/978-3-030-00847-5_26","Abel GómezJordi CabotManuel Wimmer","2018","http://link.springer.com/chapter/10.1007/978-3-030-00847-5_26","Chapter"
"Using a Lifecycle Model for Developing and Executing Real-Time Online Applications on Clouds","Service-Oriented Computing - ICSOC 2011 Workshops","","","","10.1007/978-3-642-31875-7_5","Dominik MeiländerAntonio BucchiaroneCinzia CappielloElisabetta Di NittoSergei Gorlatch","2012","http://link.springer.com/chapter/10.1007/978-3-642-31875-7_5","Chapter"
"Improving Automatic Identification of Outdated Requirements by Using Closeness Analysis Based on Source Code Changes","Software Engineering and Methodology for Emerging Domains","","","","10.1007/978-981-10-3482-4_4","Hongyu KuangJia NieHao HuJian Lü","2016","http://link.springer.com/chapter/10.1007/978-981-10-3482-4_4","Chapter"
"Towards Incremental Updates in Large-Scale Model Indexes","Modelling Foundations and Applications","","","","10.1007/978-3-319-21151-0_10","Konstantinos BarmpisSeyyed ShahDimitrios S. Kolovos","2015","http://link.springer.com/chapter/10.1007/978-3-319-21151-0_10","Chapter"
"TugaTAC Broker: A Fuzzy Logic Adaptive Reasoning Agent for Energy Trading","Multi-Agent Systems and Agreement Technologies","","","","10.1007/978-3-319-33509-4_16","Thiago R. P. M. RúbioJonas QueirozHenrique Lopes CardosoAna Paula RochaEugénio Oliveira","2016","http://link.springer.com/chapter/10.1007/978-3-319-33509-4_16","Chapter"
"Evaluation of Data Management Systems for Geospatial Big Data","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09156-3_47","Pouria AmirianAnahid BasiriAdam Winstanley","2014","http://link.springer.com/chapter/10.1007/978-3-319-09156-3_47","Chapter"
"Pluggable Aspect Instantiation Models","Software Composition","","","","10.1007/978-3-642-22045-6_6","David H. LorenzVictor Trakhtenberg","2011","http://link.springer.com/chapter/10.1007/978-3-642-22045-6_6","Chapter"
"MICROLYZE: A Framework for Recovering the Software Architecture in Microservice-Based Environments","Information Systems in the Big Data Era","","","","10.1007/978-3-319-92901-9_14","Martin KleehausÖmer UludağPatrick SchäferFlorian Matthes","2018","http://link.springer.com/chapter/10.1007/978-3-319-92901-9_14","Chapter"
"Recognizing Potential Runtime Types from Python Docstrings","Software Analysis, Testing, and Evolution","","","","10.1007/978-3-030-04272-1_5","Yang LuoWanwangying MaYanhui LiZhifei ChenLin Chen","2018","http://link.springer.com/chapter/10.1007/978-3-030-04272-1_5","Chapter"
"Federating Wired and Wireless Test Facilities through Emulab and OMF: The iLab.t Use Case","Testbeds and Research Infrastructure. Development of Networks and Communities","","","","10.1007/978-3-642-35576-9_25","Stefan BouckaertPieter BecueBrecht VermeulenBart JoorisIngrid MoermanPiet Demeester","2012","http://link.springer.com/chapter/10.1007/978-3-642-35576-9_25","Chapter"
"Facilitating Structuring of Information for Business Users with Hybrid Wikis","Software and Data Technologies","","","","10.1007/978-3-642-36177-7_15","Florian MatthesChristian NeubertAlexander Steinhoff","2013","http://link.springer.com/chapter/10.1007/978-3-642-36177-7_15","Chapter"
"Latest Developments of WADE to Support User-Centric Business Processes","Declarative Agent Languages and Technologies X","","","","10.1007/978-3-642-37890-4_2","Federico BergentiGiovanni CaireDanilo Gotta","2013","http://link.springer.com/chapter/10.1007/978-3-642-37890-4_2","Chapter"
"Combining Model-Driven Architecture and Software Product Line Engineering: Reuse of Platform-Specific Assets","Model-Driven Engineering and Software Development","","","","10.1007/978-3-030-11030-7_19","Frédéric VerdierAbdelhak-Djamel SeriaiRaoul Taffo Tiam","2019","http://link.springer.com/chapter/10.1007/978-3-030-11030-7_19","Chapter"
"Online Analysis and Visualization of Agent Based Models","Computational Science and Its Applications – ICCSA 2013","","","","10.1007/978-3-642-39637-3_52","Arnaud GrignardAlexis DrogoulJean-Daniel Zucker","2013","http://link.springer.com/chapter/10.1007/978-3-642-39637-3_52","Chapter"
"miKrow: Enabling Knowledge Management One Update at a Time","Knowledge Discovery, Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-642-29764-9_24","Guillermo ÁlvaroVíctor PenelaFrancesco CarboneCarmen CórdobaMichelangelo CastagnoneJosé Manuel Gómez-PérezJesús Contreras","2013","http://link.springer.com/chapter/10.1007/978-3-642-29764-9_24","Chapter"
"Extensibility in Model-Based Business Process Engines","Objects, Components, Models and Patterns","","","","10.1007/978-3-642-02571-6_10","Mario SánchezCamilo JiménezJorge VillalobosDirk Deridder","2009","http://link.springer.com/chapter/10.1007/978-3-642-02571-6_10","Chapter"
"Java Enterprise Edition Support in Search-Based JUnit Test Generation","Search Based Software Engineering","","","","10.1007/978-3-319-47106-8_1","Andrea ArcuriGordon Fraser","2016","http://link.springer.com/chapter/10.1007/978-3-319-47106-8_1","Chapter"
"Parallel Implementations of Gusfield’s Cut Tree Algorithm","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-642-24650-0_22","Jaime CohenLuiz A. RodriguesFabiano SilvaRenato CarmoAndré L. P. GuedesElias P. Duarte Jr.","2011","http://link.springer.com/chapter/10.1007/978-3-642-24650-0_22","Chapter"
"On the Sustainability of Community Clouds in guifi.net","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-319-43177-2_18","Roger BaigFelix FreitagLeandro Navarro","2016","http://link.springer.com/chapter/10.1007/978-3-319-43177-2_18","Chapter"
"Web 3D Service Implementation","Computational Science and Its Applications – ICCSA 2013","","","","10.1007/978-3-642-39646-5_39","Nuno OliveiraJorge Gustavo Rocha","2013","http://link.springer.com/chapter/10.1007/978-3-642-39646-5_39","Chapter"
"Synthesis from a Practical Perspective","Leveraging Applications of Formal Methods, Verification and Validation: Foundational Techniques","","","","10.1007/978-3-319-47166-2_20","Sven JörgesAnna-Lena LamprechtTiziana MargariaStefan NaujokatBernhard Steffen","2016","http://link.springer.com/chapter/10.1007/978-3-319-47166-2_20","Chapter"
"Handling Regulatory Goal Model Families as Software Product Lines","Advanced Information Systems Engineering","","","","10.1007/978-3-319-19069-3_12","Anthony PalmieriPhilippe ColletDaniel Amyot","2015","http://link.springer.com/chapter/10.1007/978-3-319-19069-3_12","Chapter"
"A Multiple Feature Integration Model to Infer Occupation from Social Media Records","Web Information Systems Engineering – WISE 2013","","","","10.1007/978-3-642-41154-0_10","Xiang WangLele YuJunjie YaoBin Cui","2013","http://link.springer.com/chapter/10.1007/978-3-642-41154-0_10","Chapter"
"Notes on Pragmatic Agent-Programming with Jason","Programming Multi-Agent Systems","","","","10.1007/978-3-642-31915-0_4","Radek PíbilPeter NovákCyril BromJakub Gemrot","2012","http://link.springer.com/chapter/10.1007/978-3-642-31915-0_4","Chapter"
"Analyzing and Exploiting Network Behaviors of Malware","Security and Privacy in Communication Networks","","","","10.1007/978-3-642-16161-2_2","Jose Andre MoralesAreej Al-BatainehShouhuai XuRavi Sandhu","2010","http://link.springer.com/chapter/10.1007/978-3-642-16161-2_2","Chapter"
"JANI: Quantitative Model and Tool Interaction","Tools and Algorithms for the Construction and Analysis of Systems","","","","10.1007/978-3-662-54580-5_9","Carlos E. BuddeChristian DehnertErnst Moritz HahnArnd HartmannsSebastian JungesAndrea Turrini","2017","http://link.springer.com/chapter/10.1007/978-3-662-54580-5_9","Chapter"
"A SAT-Based Approach for the Construction of Reusable Control System Components","Formal Methods for Industrial Critical Systems","","","","10.1007/978-3-642-24431-5_6","Daniel CôtéBenoît FraikinMarc FrappierRichard St-Denis","2011","http://link.springer.com/chapter/10.1007/978-3-642-24431-5_6","Chapter"
"Dynamic Load Balancing Algorithm for Heterogeneous Clusters","Parallel Processing and Applied Mathematics","","","","10.1007/978-3-319-78054-2_16","Tiago Marques do NascimentoRodrigo Weber dos SantosMarcelo Lobosco","2018","http://link.springer.com/chapter/10.1007/978-3-319-78054-2_16","Chapter"
"Request Distribution Toolkit for Virtual Resources Allocation","Parallel Processing and Applied Mathematics","","","","10.1007/978-3-642-31464-3_33","Jan KwiatkowskiMariusz Fras","2012","http://link.springer.com/chapter/10.1007/978-3-642-31464-3_33","Chapter"
"Combining JADE and Repast for the Complex Simulation of Enterprise Value-Adding Networks","Agent-Oriented Software Engineering IX","","","","10.1007/978-3-642-01338-6_18","Min-Jung YooRémy Glardon","2009","http://link.springer.com/chapter/10.1007/978-3-642-01338-6_18","Chapter"
"Leveraging User Inspiration with Microblogging-Driven Exploratory Search","Advanced Information Systems Engineering Workshops","","","","10.1007/978-3-319-07869-4_22","Maria TaramigkouFotis ParaskevopoulosEfthimios BothosDimitris ApostolouGregoris Mentzas","2014","http://link.springer.com/chapter/10.1007/978-3-319-07869-4_22","Chapter"
"Lazy Execution of Model-to-Model Transformations","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-24485-8_4","Massimo TisiSalvador MartínezFrédéric JouaultJordi Cabot","2011","http://link.springer.com/chapter/10.1007/978-3-642-24485-8_4","Chapter"
"Example-Based Generation of Graphical Modelling Environments","Modelling Foundations and Applications","","","","10.1007/978-3-319-42061-5_7","Jesús J. López-FernándezAntonio GarmendiaEsther GuerraJuan de Lara","2016","http://link.springer.com/chapter/10.1007/978-3-319-42061-5_7","Chapter"
"Validating Ontologies with OOPS!","Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-642-33876-2_24","María Poveda-VillalónMari Carmen Suárez-FigueroaAsunción Gómez-Pérez","2012","http://link.springer.com/chapter/10.1007/978-3-642-33876-2_24","Chapter"
"A Light-Weight Framework for Bridge-Building from Desktop to Cloud","Service-Oriented Computing – ICSOC 2013 Workshops","","","","10.1007/978-3-319-06859-6_28","Kewei DuanJulian PadgetH. Alicia Kim","2014","http://link.springer.com/chapter/10.1007/978-3-319-06859-6_28","Chapter"
"SocialSpy: Browsing (Supposedly) Hidden Information in Online Social Networks","Risks and Security of Internet and Systems","","","","10.1007/978-3-319-17127-2_6","Andrea BurattinGiuseppe CascavillaMauro Conti","2015","http://link.springer.com/chapter/10.1007/978-3-319-17127-2_6","Chapter"
"Survey on Software-Defined Networking","Cloud Computing and Big Data","","","","10.1007/978-3-319-28430-9_9","Jiangyong ChenXianghan ZhengChunming Rong","2015","http://link.springer.com/chapter/10.1007/978-3-319-28430-9_9","Chapter"
"kNN-Borůvka-GPU: A Fast and Scalable MST Construction from kNN Graphs on GPU","Computational Science and Its Applications – ICCSA 2012","","","","10.1007/978-3-642-31125-3_6","Ahmed Shamsul ArefinCarlos RiverosRegina BerrettaPablo Moscato","2012","http://link.springer.com/chapter/10.1007/978-3-642-31125-3_6","Chapter"
"MIRA: A Model-Driven Framework for Semantic Interfaces for Web Applications","Web Engineering","","","","10.1007/978-3-319-38791-8_3","Ezequiel BerttiDaniel Schwabe","2016","http://link.springer.com/chapter/10.1007/978-3-319-38791-8_3","Chapter"
"Towards a Unified View of Modeling and Programming","Leveraging Applications of Formal Methods, Verification and Validation: Discussion, Dissemination, Applications","","","","10.1007/978-3-319-47169-3_17","Manfred BroyKlaus HavelundRahul Kumar","2016","http://link.springer.com/chapter/10.1007/978-3-319-47169-3_17","Chapter"
"Programming with Multiple Paradigms in Lua","Functional and Constraint Logic Programming","","","","10.1007/978-3-642-11999-6_1","Roberto Ierusalimschy","2010","http://link.springer.com/chapter/10.1007/978-3-642-11999-6_1","Chapter"
"Feature-Oriented Programming with Object Algebras","ECOOP 2013 – Object-Oriented Programming","","","","10.1007/978-3-642-39038-8_2","Bruno C. d. S. OliveiraTijs van der StormAlex LohWilliam R. Cook","2013","http://link.springer.com/chapter/10.1007/978-3-642-39038-8_2","Chapter"
"Implementation of WLAN Connection Management Schemes in Heterogeneous Network Environments with WLAN and Cellular Networks","Computational Science and Its Applications - ICCSA 2011","","","","10.1007/978-3-642-21934-4_4","Hyung Wook ChoSueng Jae BaeHyunseung ChooMin Young Chung","2011","http://link.springer.com/chapter/10.1007/978-3-642-21934-4_4","Chapter"
"U-Learning: A Collaborative Experience in the Urban Context","Collaboration and Technology","","","","10.1007/978-3-319-63874-4_4","Josilene Almeida BritoBruno de Sousa MonteiroAlex Sandro GomesRicardo José Rocha AmorimLuma da Rocha SeixasIvanildo José de Melo Filho","2017","http://link.springer.com/chapter/10.1007/978-3-319-63874-4_4","Chapter"
"OpenMIH, an Open-Source Media-Independent Handover Implementation and Its Application to Proactive pre-Authentication","Mobile Networks and Management","","","","10.1007/978-3-642-11817-3_2","Yoann LopezEric Robert","2010","http://link.springer.com/chapter/10.1007/978-3-642-11817-3_2","Chapter"
"Multi-modeling and Co-simulation-Based Mobile Ubiquitous Protocols and Services Development and Assessment","Mobile and Ubiquitous Systems: Computing, Networking, and Services","","","","10.1007/978-3-642-29154-8_23","Tom LeclercJulien SiebertVincent ChevrierLaurent CiarlettaOlivier Festor","2012","http://link.springer.com/chapter/10.1007/978-3-642-29154-8_23","Chapter"
"An Integrated Workflow Architecture for Natural Hazards, Analytics and Decision Support","Environmental Software Systems. Infrastructures, Services and Applications","","","","10.1007/978-3-319-15994-2_33","James HiltonClaire MillerMatt BolgerLachlan HethertonMahesh Prakash","2015","http://link.springer.com/chapter/10.1007/978-3-319-15994-2_33","Chapter"
"3D Volume Visualization of Environmental Data in the Web","Environmental Software Systems. Computer Science for Environmental Protection","","","","10.1007/978-3-319-89935-0_38","Eric BraunClemens DüpmeierStefan MirbachUlrich Lang","2017","http://link.springer.com/chapter/10.1007/978-3-319-89935-0_38","Chapter"
"Product-Based Workflow Design for Monitoring of Collaborative Business Processes","Advanced Information Systems Engineering","","","","10.1007/978-3-642-21640-4_13","Marco ComuzziIrene T. P. Vanderfeesten","2011","http://link.springer.com/chapter/10.1007/978-3-642-21640-4_13","Chapter"
"Author Identification of Email Forensic in Service Oriented Architecture","Advances in Networks and Communications","","","","10.1007/978-3-642-17878-8_51","Pushpendra Kumar PateriyaShivani MishraShefalika Ghosh Samaddar","2011","http://link.springer.com/chapter/10.1007/978-3-642-17878-8_51","Chapter"
